date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2020-09-30,112.0,117.76,117.76,112.0,20728.07,10.71,10.01,117.92,126.694,126.55,15980.57,12930.7,11090.49,1.97
2020-10-09,120.65,121.2,116.42,113.0,13393.08,-1.34,-1.14,114.392,124.936,125.82,17117.89,13277.25,11387.33,1.27
2020-10-12,115.55,123.15,121.82,114.52,9478.26,5.4,4.64,114.626,123.588,125.111,17822.67,13029.94,11278.58,0.9
2020-10-13,122.4,125.2,123.31,119.28,6831.9,1.49,1.22,117.272,122.28,124.891,13593.66,12781.16,11057.26,0.65
2020-10-14,125.12,127.16,126.32,122.05,8503.7,3.01,2.44,121.126,121.48,124.805,11787.0,12802.55,11070.17,0.81
2020-10-15,126.95,129.5,124.5,124.0,7239.15,-1.82,-1.44,122.474,120.197,124.802,9089.22,12534.89,10973.71,0.69
2020-10-16,126.37,130.89,126.88,124.23,7772.0,2.38,1.91,124.566,119.479,125.188,7965.0,12541.45,10896.8,0.74
2020-10-19,127.94,129.0,120.34,118.97,11645.59,-6.54,-5.15,124.27,119.448,125.131,8398.47,13110.57,11034.19,1.11
2020-10-20,121.0,121.0,119.44,111.11,15601.55,-0.9,-0.75,123.496,120.384,124.933,10152.4,11873.03,11491.01,1.49
2020-10-21,120.95,121.88,116.25,113.5,10034.02,-3.19,-2.67,121.482,121.304,124.561,10458.46,11122.73,11572.99,0.96
2020-10-22,116.95,117.64,113.88,113.08,8699.36,-2.37,-2.04,119.358,120.916,123.805,10750.5,9919.86,11425.28,0.83
2020-10-23,115.4,115.4,110.0,109.5,9711.54,-3.88,-3.41,115.982,120.274,122.605,11138.41,9551.71,11414.48,0.92
2020-10-26,109.6,110.89,109.81,102.91,17848.99,-0.19,-0.17,113.876,119.073,121.331,12379.09,10388.78,11709.36,1.7
2020-10-27,112.19,113.84,113.69,109.41,7089.86,3.88,3.53,112.726,118.111,120.196,10676.75,10414.58,11597.87,0.67
2020-10-28,113.48,114.77,114.1,111.14,6712.1,0.41,0.36,112.296,116.889,119.185,10012.37,10235.42,11518.98,0.64
2020-10-29,113.33,115.29,114.33,111.62,4739.2,0.23,0.2,112.386,115.872,118.035,9220.34,9985.42,11260.16,0.45
2020-10-30,123.0,124.62,120.42,117.5,17788.17,6.09,5.33,114.47,115.226,117.353,10835.66,10987.04,11764.24,1.69
2020-11-02,123.0,124.37,117.2,116.0,15328.0,-3.22,-2.67,115.948,114.912,117.18,10331.47,11355.28,12232.92,1.46
2020-11-03,117.67,117.67,114.57,112.19,14776.1,-2.63,-2.24,116.124,114.425,117.405,11868.71,11272.73,11572.88,1.41
2020-11-04,114.29,115.6,112.41,112.0,9664.51,-2.16,-1.89,115.786,114.041,117.673,12459.2,11235.78,11179.26,0.92
2020-11-05,113.0,114.01,112.32,110.53,11019.6,-0.09,-0.08,115.384,113.885,117.401,13715.28,11467.81,10693.83,1.05
2020-11-06,112.32,112.64,110.12,107.8,14176.84,-2.2,-1.96,113.324,113.897,117.086,12993.01,11914.34,10733.02,1.35
2020-11-09,109.32,114.8,114.12,109.32,12970.29,4.0,3.63,112.708,114.328,116.701,12521.47,11426.47,10907.62,1.23
2020-11-10,114.09,114.35,113.25,110.51,6921.48,-0.87,-0.76,112.444,114.284,116.198,10950.54,11409.63,10912.1,0.66
2020-11-11,113.36,114.4,111.51,110.7,5147.31,-1.74,-1.54,112.264,114.025,115.457,10047.1,11253.15,10744.28,0.49
2020-11-12,111.41,113.5,111.45,110.0,4386.0,-0.06,-0.05,112.09,113.737,114.805,8720.38,11217.83,10601.63,0.42
2020-11-13,111.02,111.97,110.73,109.0,5919.5,-0.72,-0.65,112.212,112.768,113.997,7068.92,10030.96,10509.0,0.56
2020-11-16,111.0,112.11,109.58,108.49,7366.81,-1.15,-1.04,111.304,112.006,113.459,5948.22,9234.84,10295.06,0.7
2020-11-17,109.48,109.48,106.09,104.8,5773.14,-3.49,-3.19,109.872,111.158,112.792,5718.55,8334.55,9803.64,0.55
2020-11-18,106.04,106.5,104.11,100.99,10462.4,-1.98,-1.87,108.392,110.328,112.185,6781.57,8414.34,9825.06,1.0
2020-11-19,104.95,112.0,111.78,104.53,12237.16,7.67,7.37,108.458,110.274,112.08,8351.8,8536.09,10001.95,1.16
2020-11-20,112.31,112.31,109.88,108.14,7629.0,-1.9,-1.7,108.288,110.25,112.074,8693.7,7881.31,9897.82,0.73
2020-11-23,110.13,111.5,108.0,107.71,8069.1,-1.88,-1.71,107.972,109.638,111.983,8834.16,7391.19,9408.83,0.77
2020-11-24,109.0,109.0,107.11,106.6,4750.6,-0.89,-0.82,108.176,109.024,111.654,8629.65,7174.1,9291.87,0.45
2020-11-25,107.66,107.66,105.0,104.77,4826.02,-2.11,-1.97,108.354,108.373,111.199,7502.38,7141.97,9197.56,0.46
2020-11-26,104.32,105.53,102.49,101.4,7403.06,-2.51,-2.39,106.496,107.477,110.607,6535.56,7443.68,9330.75,0.7
2020-11-27,101.45,105.28,101.85,99.89,10437.66,-0.64,-0.62,104.89,106.589,109.679,7097.29,7895.5,8963.23,0.99
2020-11-30,101.26,102.99,98.54,97.78,11212.3,-3.31,-3.25,102.998,105.485,108.746,7725.93,8280.04,8757.44,1.07
2020-12-01,98.34,105.15,103.53,98.02,13282.13,4.99,5.06,102.282,105.229,108.194,9432.23,9030.94,8682.75,1.26
2020-12-02,104.47,105.5,101.17,100.5,9968.72,-2.36,-2.28,101.516,104.935,107.632,10460.77,8981.58,8697.96,0.95
2020-12-03,101.56,101.65,101.03,98.66,6877.98,-0.14,-0.14,101.224,103.86,107.067,10355.76,8445.66,8490.88,0.65
2020-12-04,100.45,103.36,102.98,100.15,8045.72,1.95,1.93,101.45,103.17,106.71,9877.37,8487.33,8184.32,0.77
2020-12-07,103.04,105.54,104.81,101.61,7618.0,1.83,1.78,102.704,102.851,106.245,9158.51,8442.22,7916.7,0.73
2020-12-08,104.81,106.57,104.11,103.3,7429.0,-0.7,-0.67,102.82,102.551,105.788,7987.88,8710.06,7942.08,0.71
2020-12-09,103.92,104.28,101.33,101.33,6599.15,-2.78,-2.67,102.852,102.184,105.279,7313.97,8887.37,8014.67,0.63
2020-12-10,99.79,103.32,102.56,99.79,5461.01,1.23,1.21,103.158,102.191,104.834,7030.58,8693.17,8068.42,0.52
2020-12-11,102.79,103.25,101.9,99.13,5118.31,-0.66,-0.64,102.942,102.196,104.393,6445.09,8161.23,8028.36,0.49
2020-12-14,101.0,101.78,100.03,99.29,5044.26,-1.87,-1.83,101.986,102.345,103.915,5930.35,7544.43,7912.24,0.48
2020-12-15,100.24,102.47,99.15,98.68,5846.57,-0.88,-0.88,100.994,101.907,103.568,5613.86,6800.87,7915.91,0.56
2020-12-16,100.35,100.35,98.1,97.1,6498.84,-1.05,-1.06,100.348,101.6,103.268,5593.8,6453.88,7717.73,0.62
2020-12-17,99.5,101.85,100.78,96.31,8722.54,2.68,2.73,99.992,101.575,102.718,6246.1,6638.34,7542.0,0.83
2020-12-18,100.56,102.88,99.8,99.66,7386.2,-0.98,-0.97,99.572,101.257,102.214,6699.68,6572.39,7529.86,0.7
2020-12-21,100.0,103.3,103.07,98.8,8394.82,3.27,3.28,100.18,101.083,101.967,7369.79,6650.07,7546.14,0.8
2020-12-22,101.3,106.89,104.02,101.3,9970.31,0.95,0.92,101.154,101.074,101.813,8194.54,6904.2,7807.13,0.95
2020-12-23,104.13,107.01,104.73,103.01,7363.47,0.71,0.68,102.48,101.414,101.799,8367.47,6980.63,7934.0,0.7
2020-12-24,104.15,106.38,102.56,102.15,5471.06,-2.17,-2.07,102.836,101.414,101.803,7717.17,6981.64,7837.4,0.52
2020-12-25,101.75,103.9,102.52,97.5,7636.97,-0.04,-0.04,103.38,101.476,101.836,7767.33,7233.5,7697.37,0.73
2020-12-28,103.19,104.31,102.0,101.0,6189.31,-0.52,-0.51,103.166,101.673,102.009,7326.22,7348.01,7446.22,0.59
2020-12-29,101.49,105.5,104.31,99.06,8294.18,2.31,2.27,103.224,102.189,102.048,6991.0,7592.77,7196.82,0.79
2020-12-30,104.73,105.76,102.7,101.6,8643.2,-1.61,-1.54,102.818,102.649,102.125,7246.94,7807.21,7130.55,0.82
2020-12-31,102.3,106.3,105.25,101.19,7098.65,2.55,2.48,103.356,103.096,102.336,7572.46,7644.82,7141.58,0.68
2021-01-04,104.0,105.6,100.4,99.7,10960.22,-4.85,-4.61,102.932,103.156,102.207,8237.11,8002.22,7287.3,1.04
2021-01-05,100.08,104.55,102.46,99.8,14000.62,2.06,2.05,103.024,103.095,102.089,9799.37,8562.8,7606.43,1.33
2021-01-06,101.63,103.0,99.52,98.88,11517.19,-2.94,-2.87,102.066,102.645,101.86,10443.98,8717.49,7810.84,1.1
2021-01-07,99.45,99.52,96.75,95.52,11991.12,-2.77,-2.78,100.876,101.847,101.631,11113.56,9180.25,8080.44,1.14
2021-01-08,96.63,98.22,94.18,92.91,10149.88,-2.57,-2.66,98.662,101.009,101.212,11723.81,9648.13,8314.89,0.97
2021-01-11,93.21,93.49,87.39,86.73,15270.37,-6.79,-7.21,96.06,99.496,100.486,12585.84,10411.47,8822.49,1.45
2021-01-12,86.67,96.13,96.13,86.67,16362.13,8.74,10.0,94.794,98.909,100.291,13058.14,11428.76,9388.38,1.56
2021-01-13,102.36,105.0,103.0,99.5,24029.09,6.87,7.15,95.49,98.778,100.484,15560.52,13002.25,10297.51,2.29
2021-01-14,106.0,111.86,109.28,104.05,19073.58,6.28,6.1,97.996,99.436,101.043,16977.01,14045.29,10926.25,1.82
2021-01-15,109.86,109.86,104.39,98.35,13056.69,-4.89,-4.47,100.038,99.35,101.223,17558.37,14641.09,11142.95,1.24
2021-01-18,105.44,111.18,110.2,103.21,17377.24,5.81,5.57,104.6,100.33,101.743,17979.75,15282.79,11642.51,1.65
2021-01-19,110.21,113.32,108.15,107.0,10472.0,-2.05,-1.86,107.004,100.899,101.997,16801.72,14929.93,11746.36,1.0
2021-01-20,108.3,115.0,112.19,107.86,11108.55,4.04,3.74,108.842,102.166,102.406,14217.61,14889.07,11803.28,1.06
2021-01-21,109.98,112.37,109.97,108.1,7828.16,-2.22,-1.98,108.98,103.488,102.668,11968.53,14472.77,11826.51,0.75
2021-01-22,109.0,109.97,106.06,104.88,12518.35,-3.91,-3.56,109.314,104.676,102.843,11860.86,14709.62,12178.88,1.19
2021-01-25,105.88,111.31,105.69,104.68,16794.14,-0.37,-0.35,108.412,106.506,103.001,11744.24,14861.99,12636.73,1.6
2021-01-26,104.0,107.8,105.88,102.72,10072.79,0.19,0.18,107.958,107.481,103.195,11664.4,14233.06,12830.91,0.96
2021-01-27,109.01,111.0,109.54,105.5,15683.84,3.66,3.46,107.428,108.135,103.457,12579.46,13398.53,13200.39,1.49
2021-01-28,108.28,114.06,108.32,107.28,13121.8,-1.22,-1.11,107.098,108.039,103.738,13638.18,12803.36,13424.32,1.25
2021-01-29,107.22,112.58,109.6,107.22,15268.82,1.28,1.18,107.806,108.56,103.955,14188.28,13024.57,13832.83,1.45
2021-02-01,111.0,120.55,120.55,108.0,21658.51,10.95,9.99,110.778,109.595,104.963,15161.15,13452.7,14367.74,2.06
2021-02-02,120.05,120.05,118.3,114.61,16956.41,-2.25,-1.87,113.262,110.61,105.755,16537.88,14101.14,14515.53,1.61
2021-02-03,117.3,120.95,116.78,115.24,17184.77,-1.52,-1.28,114.71,111.069,106.618,16838.06,14708.76,14798.91,1.64
2021-02-04,117.01,127.73,126.2,114.98,21984.46,9.42,8.07,118.286,112.692,108.09,18610.59,16124.39,15298.58,2.09
2021-02-05,126.19,129.0,120.48,120.0,19835.92,-5.72,-4.53,120.462,114.134,109.405,19524.01,16856.15,15782.88,1.89
2021-02-08,117.0,119.79,117.49,111.03,14903.35,-2.99,-2.48,119.85,115.314,110.91,18172.98,16667.07,15764.53,1.42
2021-02-09,115.35,119.18,116.25,113.58,9759.61,-1.24,-1.05,119.44,116.351,111.916,16733.62,16635.75,15434.4,0.93
2021-02-10,116.34,117.98,110.45,105.19,20885.87,-5.8,-4.99,118.174,116.442,112.289,17473.84,17155.95,15277.24,1.99
2021-02-18,110.29,118.8,115.53,110.29,20301.37,5.08,4.6,116.04,117.163,112.601,17137.22,17873.91,15338.63,1.93
2021-02-19,114.5,114.5,109.44,109.0,13699.64,-6.09,-5.27,113.832,117.147,112.854,15909.97,17716.99,15370.78,1.3
2021-02-22,110.0,112.32,108.0,107.25,13091.27,-1.44,-1.32,111.934,115.892,112.744,15547.55,16860.27,15156.48,1.25
2021-02-23,107.2,111.78,109.6,104.2,16247.9,1.6,1.48,110.604,115.022,112.816,16845.21,16789.42,15445.28,1.55
2021-02-24,109.5,112.47,107.83,107.09,12656.58,-1.77,-1.61,110.08,114.127,112.598,15199.35,16336.6,15522.68,1.2
2021-02-25,108.07,113.49,113.06,104.99,13452.88,5.23,4.85,109.586,112.813,112.753,13829.65,15483.44,15803.91,1.28
2021-02-26,110.0,110.69,109.29,107.01,12073.66,-3.77,-3.33,109.556,111.694,112.914,13504.46,14707.21,15781.68,1.15
2021-03-01,108.87,109.74,106.5,106.0,18500.11,-2.79,-2.55,109.256,110.595,112.955,14586.23,15066.89,15866.98,1.76
2021-03-02,107.0,112.04,109.29,106.8,13767.16,2.79,2.62,109.194,109.899,113.125,14090.08,15467.64,16051.7,1.31
2021-03-03,108.72,118.47,115.37,108.72,16972.75,6.08,5.56,110.702,110.391,113.417,14953.31,15076.33,16116.14,1.62
2021-03-04,114.76,116.49,113.36,110.6,11659.25,-2.01,-1.74,110.762,110.174,113.669,14594.59,14212.12,16043.01,1.11
2021-03-05,111.96,119.96,117.7,111.58,15112.95,4.34,3.83,112.444,111.0,114.074,15202.44,14353.45,16035.22,1.44
2021-03-08,120.92,120.92,113.0,113.0,17458.14,-4.7,-3.99,113.744,111.5,113.696,14994.05,14790.14,15825.2,1.66
2021-03-09,111.26,111.26,101.7,101.7,17004.31,-11.3,-10.0,112.226,110.71,112.866,15641.48,14865.78,15827.6,1.62
2021-03-10,101.7,102.0,96.32,94.42,22264.44,-5.38,-5.29,108.416,109.559,111.843,16699.82,15826.57,16081.58,2.12
2021-03-11,96.51,101.75,100.0,96.51,11000.63,3.68,3.82,105.744,108.253,110.533,16568.09,15581.34,15532.39,1.05
2021-03-12,99.76,101.29,99.63,97.75,5654.56,-0.37,-0.37,102.13,107.287,109.491,14676.42,14939.43,14823.32,0.54
2021-03-15,99.5,100.1,95.75,94.43,10546.1,-3.88,-3.89,98.68,106.212,108.404,13294.01,14144.03,14605.46,1.0
2021-03-16,96.9,100.79,99.24,96.31,9593.0,3.49,3.65,98.188,105.207,107.553,11811.75,13726.61,14597.13,0.91
2021-03-17,99.75,101.0,99.21,97.51,6838.3,-0.03,-0.03,98.766,103.591,106.991,8726.52,12713.17,13894.75,0.65
2021-03-18,99.48,107.87,104.5,99.41,14614.17,5.29,5.33,99.666,102.705,106.44,9449.23,13008.66,13610.39,1.39
2021-03-19,103.34,106.51,104.59,101.6,8659.4,0.09,0.09,100.658,101.394,106.197,10050.19,12363.31,13358.38,0.82
2021-03-22,103.55,109.18,106.04,103.23,8234.97,1.45,1.39,102.716,100.698,106.099,9587.97,11440.99,13115.56,0.78
2021-03-23,106.1,107.32,105.81,105.0,5429.35,-0.23,-0.22,104.03,101.109,105.91,8755.24,10283.49,12574.64,0.52
2021-03-24,105.03,108.5,105.72,104.3,7205.34,-0.09,-0.09,105.332,102.049,105.804,8828.65,8777.58,12302.07,0.69
2021-03-25,104.67,109.89,109.13,104.67,6247.64,3.41,3.23,106.258,102.962,105.608,7155.34,8302.28,11941.81,0.59
2021-03-26,108.48,110.78,107.69,106.01,9527.42,-1.44,-1.32,106.878,103.768,105.528,7328.94,8689.57,11814.5,0.91
2021-03-29,108.29,112.26,111.21,107.42,7853.78,3.52,3.27,107.912,105.314,105.763,7252.71,8420.34,11282.18,0.75
2021-03-30,111.21,113.33,111.88,110.34,7468.95,0.67,0.6,109.126,106.578,105.893,7660.63,8207.93,10967.27,0.71
2021-03-31,111.0,113.74,111.83,110.17,4509.49,-0.05,-0.04,110.348,107.84,105.716,7121.46,7975.05,10344.11,0.43
2021-04-01,112.5,113.96,111.71,111.0,4149.79,-0.12,-0.11,110.864,108.561,105.633,6701.89,6928.61,9968.64,0.39
2021-04-02,112.3,113.4,110.54,109.9,8133.88,-1.17,-1.05,111.434,109.156,105.275,6423.18,6876.06,9619.68,0.77
2021-04-06,111.1,114.43,112.55,110.54,9049.04,2.01,1.82,111.702,109.807,105.253,6662.23,6957.47,9199.23,0.86
2021-04-07,112.9,115.28,113.05,111.5,6884.1,0.5,0.44,111.936,110.531,105.82,6545.26,7102.94,8693.22,0.66
2021-04-08,113.13,115.6,115.0,111.65,7863.87,1.95,1.73,112.57,111.459,106.754,7216.14,7168.8,7973.19,0.75
2021-04-09,114.63,115.97,115.1,113.0,6438.81,0.1,0.09,113.248,112.056,107.509,7673.94,7187.91,7745.1,0.61
2021-04-12,115.42,120.3,113.55,113.53,8774.9,-1.55,-1.35,113.85,112.642,108.205,7802.14,7112.66,7901.12,0.84
2021-04-13,112.7,117.37,113.7,112.7,7650.17,0.15,0.13,114.08,112.891,109.103,7522.37,7092.3,7756.32,0.73
2021-04-14,114.02,118.0,117.66,112.7,8646.48,3.96,3.48,115.002,113.469,110.024,7874.85,7210.05,7708.99,0.82
2021-04-15,116.19,118.0,113.1,111.8,9723.42,-4.56,-3.88,114.622,113.596,110.718,8246.76,7731.45,7853.25,0.93
2021-04-16,113.3,117.82,117.35,113.3,9951.71,4.25,3.76,115.072,114.16,111.361,8949.34,8311.64,7620.13,0.95
2021-04-19,117.75,117.87,115.1,110.0,15470.79,-2.25,-1.92,115.382,114.616,111.886,10288.51,9045.33,7960.7,1.47
2021-04-20,114.35,116.38,114.51,113.01,8126.23,-0.59,-0.51,115.544,114.812,112.31,10383.73,8953.05,7955.26,0.77
2021-04-21,114.51,116.5,112.1,111.2,11643.17,-2.41,-2.1,114.432,114.717,112.624,10983.06,9428.96,8265.95,1.11
2021-04-22,112.75,116.37,115.27,112.0,10493.9,3.17,2.83,114.866,114.744,113.102,11137.16,9691.96,8430.38,1.0
2021-04-23,116.14,117.33,115.98,115.0,6750.07,0.71,0.62,114.592,114.832,113.444,10496.83,9723.08,8455.5,0.64
2021-04-26,116.0,120.39,120.0,115.2,10688.82,4.02,3.47,115.572,115.477,114.06,9540.44,9914.48,8513.57,1.02
2021-04-27,120.37,120.44,116.65,114.07,9929.79,-3.35,-2.79,116.0,115.772,114.332,9901.15,10142.44,8617.37,0.95
2021-04-28,114.0,117.98,113.9,110.5,18948.4,-2.75,-2.36,116.36,115.396,114.433,11362.2,11172.63,9191.34,1.8
2021-04-29,114.21,114.21,110.09,110.0,13846.39,-3.81,-3.35,115.324,115.095,114.346,12032.69,11584.93,9658.19,1.32
2021-04-30,109.93,112.88,110.0,106.01,9784.04,-0.09,-0.08,114.128,114.36,114.26,12639.49,11568.16,9939.9,0.93
2021-05-06,109.34,109.77,107.43,106.5,17077.58,-2.57,-2.34,111.614,113.593,114.105,13917.24,11728.84,10387.08,1.63
2021-05-07,107.85,108.5,106.0,104.06,12069.22,-1.43,-1.33,109.484,112.742,113.777,14345.13,12123.14,10538.09,1.15
2021-05-10,106.94,106.97,100.0,99.0,16670.81,-6.0,-5.66,106.704,111.532,113.125,13889.61,12625.9,11027.43,1.59
2021-05-11,102.0,102.0,98.92,97.62,10204.37,-1.08,-1.08,104.47,109.897,112.321,13161.2,12596.95,11144.45,0.97
2021-05-12,98.61,99.0,96.0,95.0,12585.83,-2.92,-2.95,101.67,107.899,111.366,13721.56,13180.53,11451.8,1.2
2021-05-13,95.85,95.85,91.55,91.08,11543.07,-4.45,-4.63,98.494,105.054,110.266,12614.66,13265.95,11590.21,1.1
2021-05-14,91.55,91.98,91.02,87.8,24677.69,-0.53,-0.58,95.498,102.491,109.132,15136.35,14740.74,12441.59,2.35
2021-05-17,90.0,92.27,91.48,89.33,21893.4,0.46,0.51,93.794,100.249,107.823,16180.87,15035.24,13103.94,2.08
2021-05-18,91.31,97.1,96.8,89.74,18298.43,5.32,5.82,93.37,98.92,107.008,17799.68,15480.44,13532.69,1.74
2021-05-19,98.0,102.5,99.42,95.59,10503.97,2.62,2.71,94.054,97.862,106.111,17383.31,15552.44,13560.3,1.0
2021-05-20,99.4,105.51,105.0,99.4,11175.42,5.58,5.61,96.744,97.619,105.606,17309.78,14962.22,13345.53,1.06
2021-05-21,104.35,105.99,102.98,101.05,9720.2,-2.02,-1.92,99.136,97.317,105.03,14318.28,14727.32,13425.23,0.93
2021-05-24,101.63,103.98,103.1,98.55,7325.55,0.12,0.12,101.46,97.627,104.58,11404.71,13792.79,13209.35,0.7
2021-05-25,104.14,105.0,103.52,102.0,7651.89,0.42,0.41,102.804,98.087,103.992,9275.41,13537.55,13067.25,0.73
2021-05-26,103.24,108.0,105.61,103.24,6854.95,2.09,2.02,104.042,99.048,103.474,8545.6,12964.46,13072.49,0.65
2021-05-27,106.27,106.27,102.72,101.73,9199.69,-2.89,-2.74,103.586,100.165,102.61,8150.46,12730.12,12998.03,0.88
2021-05-28,102.3,105.25,103.18,102.03,7806.2,0.46,0.45,103.626,101.381,101.936,7767.66,11042.97,12891.86,0.74
2021-05-31,104.0,104.0,100.9,100.0,8914.09,-2.28,-2.21,103.186,102.323,101.286,8085.36,9745.04,12390.14,0.85
2021-06-01,101.98,102.96,101.87,101.0,5948.21,0.97,0.96,102.856,102.83,100.875,7744.63,8510.02,11995.23,0.57
2021-06-02,101.58,102.6,100.4,100.4,5931.15,-1.47,-1.44,101.814,102.928,100.395,7559.87,8052.74,11802.59,0.56
2021-06-03,100.49,101.96,99.8,97.81,5084.26,-0.6,-0.6,101.23,102.408,100.014,6736.78,7443.62,11202.92,0.48
2021-06-04,99.26,100.0,99.4,97.7,7006.27,-0.4,-0.4,100.474,102.05,99.684,6576.8,7172.23,10949.77,0.67
