StartDate,open
2019-12-03,51.6
2019-12-04,51.3
2019-12-05,51.3
2019-12-06,51.7
2019-12-07,51.7
2019-12-08,51.7
2019-12-09,52.2
2019-12-10,54.68
2019-12-11,52.51
2019-12-12,50.6
2019-12-13,50.61
2019-12-14,50.61
2019-12-15,50.61
2019-12-16,50.75
2019-12-17,51.15
2019-12-18,52.39
2019-12-19,51.2
2019-12-20,50.48
2019-12-21,50.48
2019-12-22,50.48
2019-12-23,50.04
2019-12-24,50.3
2019-12-25,50.35
2019-12-26,49.06
2019-12-27,50.66
2019-12-28,50.66
2019-12-29,50.66
2019-12-30,52.28
2019-12-31,52.26
2020-01-01,52.26
2020-01-02,51.39
2020-01-03,56.06
2020-01-04,56.06
2020-01-05,56.06
2020-01-06,56.0
2020-01-07,56.3
2020-01-08,57.53
2020-01-09,57.74
2020-01-10,59.81
2020-01-11,59.81
2020-01-12,59.81
2020-01-13,59.97
2020-01-14,59.61
2020-01-15,60.88
2020-01-16,60.18
2020-01-17,60.29
2020-01-18,60.29
2020-01-19,60.29
2020-01-20,63.66
2020-01-21,63.9
2020-01-22,69.0
2020-01-23,72.25
2020-01-24,72.25
2020-01-25,72.25
2020-01-26,72.25
2020-01-27,72.25
2020-01-28,72.25
2020-01-29,72.25
2020-01-30,72.25
2020-01-31,72.25
2020-02-01,72.25
2020-02-02,72.25
2020-02-03,60.36
2020-02-04,54.55
2020-02-05,62.12
2020-02-06,60.8
2020-02-07,64.16
2020-02-08,64.16
2020-02-09,64.16
2020-02-10,64.0
2020-02-11,68.28
2020-02-12,72.1
2020-02-13,74.8
2020-02-14,70.71
2020-02-15,70.71
2020-02-16,70.71
2020-02-17,71.5
2020-02-18,77.3
2020-02-19,83.6
2020-02-20,82.3
2020-02-21,82.75
2020-02-22,82.75
2020-02-23,82.75
2020-02-24,82.7
2020-02-25,82.97
2020-02-26,80.48
2020-02-27,80.19
2020-02-28,81.14
2020-02-29,81.14
2020-03-01,81.14
2020-03-02,80.06
2020-03-03,91.0
2020-03-04,83.88
2020-03-05,88.59
2020-03-06,91.08
2020-03-07,91.08
2020-03-08,91.08
2020-03-09,91.09
2020-03-10,87.01
2020-03-11,90.89
2020-03-12,90.75
2020-03-13,81.5
2020-03-14,81.5
2020-03-15,81.5
2020-03-16,86.0
2020-03-17,81.0
2020-03-18,78.88
2020-03-19,80.22
2020-03-20,79.39
2020-03-21,79.39
2020-03-22,79.39
2020-03-23,79.79
2020-03-24,75.32
2020-03-25,76.54
2020-03-26,75.46
2020-03-27,74.37
2020-03-28,74.37
2020-03-29,74.37
2020-03-30,74.5
2020-03-31,78.0
2020-04-01,78.93
2020-04-02,79.88
2020-04-03,80.86
